Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
789,2.78902,2.26898,1.99481,1.45495,3.1108,2.86458,3.18428,2.95481,5.66939,4.60216,4.43037,3.44897,3.68664,2.70114,3.18597,2.41912,4.56884,3.66342,5.66717,4.63786,4.37861,3.11933,5.27968,3.66442,4.15687,4.29939,3.67276,3.72006,2.54905,2.55479,3.11386,3.13037,3.34287,3.23869,3.61356,3.43591,2.78489,2.70489,3.20499,3.0443,4.58842,3.77151,4.75072,4.08213,3.014,2.20998,2.91533,2.48662
794,3.52452,2.76135,2.55573,1.74739,2.83292,2.57096,2.98851,2.76256,3.70312,3.08105,2.91873,2.41187,3.83782,2.91246,3.16366,2.43616,4.71072,4.06831,5.57148,4.80021,4.44807,3.51949,5.18062,3.8425,3.94101,4.08306,3.30058,3.3558,2.08683,2.0568,2.48191,2.48592,3.63317,3.31527,3.86071,3.46494,2.77568,2.51321,3.18286,2.79942,4.49772,4.04805,5.11759,4.65846,2.81095,2.35696,3.02179,2.74593
799,4.33908,3.44448,3.10006,2.28561,2.49289,2.36144,2.65198,2.50801,3.61556,3.03335,2.87221,2.38026,4.07971,3.30018,3.64159,3.06997,4.34755,3.95816,5.26369,5.01521,3.90028,3.24243,4.50098,3.76186,3.77483,3.88605,3.08746,3.08667,2.00823,1.87594,2.29665,2.19162,3.64326,3.42324,3.86509,3.65277,2.52211,2.39094,2.88116,2.70906,4.22019,3.67154,4.64339,4.12372,3.75539,2.99456,3.88527,3.40129
804,3.17329,2.66652,2.15467,1.69499,2.51964,2.39864,2.7256,2.61524,3.60307,2.98896,2.92694,2.49096,3.94995,3.03565,3.45772,2.73412,4.56631,3.90415,5.60604,4.9423,4.30378,3.29985,5.2044,3.87454,4.03657,4.15271,3.57771,3.58775,2.50711,2.45323,2.99351,2.94592,3.18333,3.06026,3.37107,3.19673,2.38288,2.30298,2.69797,2.52958,3.87798,3.44704,4.13476,3.80422,2.85447,2.29231,2.79995,2.44344
809,2.89915,2.5282,1.89506,1.55415,3.34327,2.95854,3.47189,3.15179,3.3868,2.90393,2.61631,2.15659,3.67866,3.17238,3.43109,3.10261,4.62584,3.84307,5.6026,4.99673,4.3263,3.14544,5.05189,3.73078,3.72649,3.81735,3.30544,3.34013,2.21501,2.14323,2.56951,2.55495,2.92269,2.93998,2.99228,2.97216,2.28363,2.3099,2.47703,2.46531,4.11108,3.59366,4.38155,3.95292,3.38338,2.76493,3.27279,2.98241
814,3.42415,2.94811,2.20995,1.76531,2.94209,2.68246,3.07746,2.8413,4.03216,3.39912,3.13429,2.63384,4.2493,3.75206,4.02462,3.6732,4.40909,3.91699,5.60284,4.96562,4.13341,3.36684,5.174,4.03075,4.09443,4.23362,3.45677,3.49748,2.34833,2.30749,2.78695,2.7671,2.9533,2.92604,3.14401,3.08662,2.45343,2.44896,2.79404,2.77006,3.43129,2.95663,3.63113,3.1753,3.65654,2.9592,3.4226,3.19506
819,3.00608,2.74162,2.03527,1.79934,2.43558,2.05286,2.553,2.19547,3.89361,3.24445,3.18166,2.73707,4.02849,3.41669,3.71514,3.33468,4.53554,3.85807,5.42451,4.68639,4.38561,3.44432,5.25875,3.92097,3.89904,4.01564,3.31378,3.33226,2.14465,2.08565,2.59333,2.56371,3.48646,3.42896,3.84718,3.74806,3.00115,2.98892,3.4799,3.4223,3.72782,3.23685,4.015,3.56925,3.73036,2.89557,3.50454,3.22498
824,3.03704,2.52145,2.20296,1.61524,2.88048,2.43331,3.00417,2.65672,4.18081,3.46042,3.04396,2.46183,3.78627,3.26139,3.46706,3.1317,4.50685,3.53162,5.30391,4.24969,4.45867,3.2227,5.17084,3.6261,4.08596,4.19105,3.60625,3.61589,2.39459,2.38665,2.83517,2.82678,3.2664,3.21759,3.57653,3.46919,2.83914,2.82582,3.2792,3.20019,3.86979,3.27815,4.25318,3.69105,3.21921,2.23218,2.91646,2.46324
829,2.81975,2.45787,1.85709,1.50746,2.75921,2.47097,2.9279,2.67708,4.04209,3.51479,3.34282,2.91296,3.60231,3.25785,3.34646,3.0921,4.10426,3.89765,5.04668,5.09854,3.6994,3.3255,4.22781,3.9954,3.9664,4.06117,3.62954,3.629,2.48664,2.42618,3.005,2.95726,3.09317,3.04664,3.23849,3.14633,2.42071,2.36959,2.67667,2.58254,2.77694,2.55727,2.96006,2.79977,3.31348,2.25484,3.08915,2.63019
834,2.30021,2.0428,1.60675,1.40177,2.99902,2.66278,3.11855,2.8476,4.19197,3.6322,3.18689,2.70819,4.0911,3.70747,3.86065,3.5623,3.74707,3.469,4.3306,4.32324,3.57196,3.23163,3.96126,3.7997,4.16038,4.2372,3.66358,3.60715,2.63639,2.46617,3.10512,2.94887,3.44819,3.2458,3.73789,3.50361,2.79551,2.66051,3.22251,3.04238,4.52399,4.02807,4.8519,4.462,3.09636,2.15819,2.80746,2.42519
839,2.72319,2.3207,1.87635,1.50209,2.28112,2.04748,2.40584,2.20317,4.97195,4.27727,3.70731,3.25897,3.92455,3.45322,3.66847,3.33206,3.88359,3.80456,4.64255,4.7036,3.5466,3.37906,4.02719,3.94732,4.33078,4.2752,4.10419,3.91636,3.10416,2.816,3.61506,3.34957,3.0489,2.99139,3.23767,3.16726,2.68517,2.6318,2.93654,2.87753,3.77023,3.30541,4.07605,3.65589,3.53044,2.52133,3.24006,2.69795
