Snap,x1mis_allha,x1mis_ntha,x1mis_allbb,x1mis_ntbb,x2jxq_allha,x2jxq_ntha,x2jxq_allbb,x2jxq_ntbb,x1f5g_allha,x1f5g_ntha,x1f5g_allbb,x1f5g_ntbb,x2l8f_allha,x2l8f_ntha,x2l8f_allbb,x2l8f_ntbb,x1zih_allha,x1zih_ntha,x1zih_allbb,x1zih_ntbb,x1zihstem_allha,x1zihstem_ntha,x1zihstem_allbb,x1zihstem_ntbb,x1szy_allha,x1szy_ntha,x1szy_allbb,x1szy_ntbb,x1szystem_allha,x1szystem_ntha,x1szystem_allbb,x1szystem_ntbb,x2koc_allha,x2koc_ntha,x2koc_allbb,x2koc_ntbb,x2kocstem_allha,x2kocstem_ntha,x2kocstem_allbb,x2kocstem_ntbb,x1d20_allha,x1d20_ntha,x1d20_allbb,x1d20_ntbb,x2hkb_allha,x2hkb_ntha,x2hkb_allbb,x2hkb_ntbb
2259,3.33797,2.81009,2.44342,2.02295,3.22045,2.93744,3.27033,3.02821,6.31153,5.39263,4.51516,3.9101,5.20244,4.60058,4.6232,4.00069,5.83762,4.29844,6.4807,5.23837,5.60231,3.65067,6.29142,4.45375,6.34273,6.16349,5.9522,5.79826,4.19373,3.99522,4.70805,4.58994,3.91156,3.11543,3.40536,2.74147,3.44007,2.31236,3.05926,2.17192,7.48291,6.85413,7.99321,7.50712,5.24838,4.17132,5.12537,4.40247
2260,3.85013,3.27793,2.46961,2.03964,3.13628,2.93301,3.26954,3.09056,6.78454,5.81739,4.79557,4.16657,4.99311,4.43424,4.37747,3.78905,6.00834,4.34195,6.75869,5.35353,5.85192,3.7472,6.64822,4.5808,6.25583,6.02798,5.84746,5.6614,4.25398,3.98597,4.73317,4.5679,3.80863,3.00791,3.33429,2.64214,3.39356,2.28786,3.02419,2.11439,7.13031,6.52966,7.47313,7.01858,5.572,4.4642,5.6034,4.87418
2261,3.47564,3.08251,2.21622,1.8788,3.282,2.99413,3.35172,3.06632,6.40594,5.5558,4.52418,4.00498,5.24114,4.62947,4.61371,3.93979,5.94538,4.33997,6.64242,5.30086,5.74187,3.69765,6.47577,4.49944,6.33249,6.09094,5.96858,5.76737,4.38467,4.08846,4.86845,4.66602,4.23009,3.36164,3.68619,2.9469,3.64949,2.41714,3.24409,2.24558,7.07807,6.47146,7.4089,6.94331,5.82349,4.81749,5.773,5.06571
2262,3.49466,2.96548,2.33093,1.83105,3.35096,3.15366,3.46222,3.26336,6.32494,5.40947,4.52185,3.88732,4.79527,4.23633,4.18343,3.44886,6.03621,4.41947,6.82297,5.46406,5.81949,3.79551,6.68564,4.72621,6.28937,6.03156,5.94513,5.68902,4.42105,4.0685,4.89984,4.60908,4.00508,3.23708,3.48063,2.78834,3.51895,2.43545,3.17578,2.25349,7.63178,7.07395,8.24443,7.82654,5.75337,4.64041,5.60705,4.80186
2263,3.86647,3.14356,2.54312,1.86609,3.21281,2.88858,3.36326,3.05574,6.13046,5.28175,4.32081,3.75207,5.03562,4.42567,4.52297,3.71258,5.98315,4.30572,6.62663,5.26754,5.77911,3.67544,6.45063,4.44606,6.31161,6.00855,5.97171,5.70032,4.43379,4.07715,4.9344,4.67286,4.18924,3.45825,3.81297,3.12589,3.82556,2.85151,3.65643,2.82083,7.34357,6.85653,7.81221,7.45554,6.19308,5.1163,6.31048,5.61601
2264,3.31855,2.61973,2.36218,1.64411,3.3263,2.99967,3.48784,3.20138,5.66025,4.96322,4.12874,3.6998,5.18533,4.46614,4.74397,3.88804,6.22766,4.6052,7.1473,5.81757,6.07608,4.07744,7.08028,5.18637,6.22383,6.00035,5.82514,5.62984,4.14715,3.85635,4.62751,4.43309,3.8978,3.19733,3.50568,2.89821,3.62986,2.73136,3.39072,2.65639,7.10959,6.55995,7.43473,7.00993,6.28385,5.18428,6.36875,5.64184
2265,3.14811,2.56393,2.2114,1.71331,3.58311,3.21929,3.76561,3.44557,5.28305,4.54808,3.80222,3.30454,5.39554,4.51265,5.00872,3.91864,6.10624,4.44491,6.94257,5.5857,5.97377,3.90523,6.85505,4.9019,6.29201,6.03953,5.90541,5.68634,4.38298,4.05839,4.85733,4.63271,3.74889,2.9593,3.26674,2.5779,3.41626,2.35181,3.06067,2.16947,7.25217,6.72124,7.73777,7.36669,6.5789,5.60182,6.71943,6.05692
2266,3.43059,2.88235,2.25261,1.72501,3.68832,3.31799,3.8622,3.55023,5.96021,5.10684,4.22183,3.66079,5.1282,4.53576,4.73178,3.94706,6.0028,4.33303,6.62021,5.19773,5.72608,3.58153,6.39709,4.24583,6.37546,6.09865,5.96661,5.75179,4.3909,4.08117,4.84688,4.66174,4.16111,3.47821,3.72137,3.0951,3.57783,2.56048,3.37076,2.51967,6.68448,6.11257,6.76772,6.33048,6.40148,5.33944,6.51277,5.81924
2267,3.45975,2.7809,2.37076,1.69691,3.57956,3.21995,3.71259,3.37228,5.86143,5.06628,4.29008,3.79075,5.05462,4.34152,4.65594,3.7565,5.85675,4.31283,6.56248,5.27812,5.63884,3.67319,6.3907,4.49068,6.2892,6.0553,5.90888,5.72566,4.35295,4.07095,4.82917,4.65108,3.97246,3.20838,3.51464,2.82394,3.50064,2.44278,3.19794,2.30252,6.94671,6.50357,7.13833,6.83131,6.56088,5.50158,6.67955,6.005
2268,4.27589,3.54983,2.95199,2.27605,3.30219,3.04727,3.46577,3.22664,6.36865,5.29686,4.75136,4.01921,5.36664,4.61728,4.94516,4.02689,5.94892,4.27046,6.59763,5.15705,5.7247,3.54455,6.38491,4.224,6.38161,6.11393,5.97499,5.74578,4.36124,4.06686,4.87893,4.68453,4.37798,3.49067,3.96922,3.1862,3.74704,2.52271,3.52889,2.53715,6.91609,6.55106,7.12914,6.92502,6.90176,5.82242,7.01265,6.32415
2269,3.3888,2.95421,2.22714,1.87192,3.25163,2.86788,3.29833,2.95093,5.50833,4.66524,4.20527,3.61553,5.07281,4.44413,4.48752,3.71021,5.98368,4.39099,6.7307,5.40924,5.7639,3.77063,6.53703,4.58699,6.36682,6.15305,5.99219,5.79226,4.35255,4.0837,4.82623,4.62358,4.43569,3.53977,4.08318,3.29213,3.89708,2.69644,3.73491,2.75534,6.82785,6.5787,7.13202,7.00979,6.50775,5.3681,6.6754,5.97604
